ts_releve_utc,id_pdc_itinerance,horodatage,etat_pdc,occupation_pdc
2026-09-16T10:52:23.810791+00:00,FRLDLE00000839,2026-09-16 10:18:45.541000+00:00,en_service,occupe
2026-09-16T10:52:23.810860+00:00,FRLDLE00000840,2026-09-16 10:30:48.955000+00:00,en_service,libre
2026-09-16T13:20:53.820361+00:00,FRLDLE00000839,2026-09-16 12:13:29.073000+00:00,hors_service,inconnu
2026-09-16T13:20:53.820860+00:00,FRLDLE00000840,2026-09-16 12:46:25.738000+00:00,en_service,libre
2026-09-16T13:43:41.274596+00:00,FRLDLE00000840,2026-09-16 13:42:43.614000+00:00,en_service,libre
2026-09-16T17:45:04.722389+00:00,FRLDLE00000839,2026-09-16 14:22:52.688000+00:00,en_service,libre
2026-09-16T17:45:04.722480+00:00,FRLDLE00000840,2026-09-16 14:27:35.205000+00:00,en_service,occupe
2026-09-16T20:27:31.874036+00:00,FRLDLE00000839,2026-09-16 18:09:02.065000+00:00,hors_service,inconnu
2026-09-16T20:27:31.874122+00:00,FRLDLE00000840,2026-09-16 18:09:04.265000+00:00,en_service,occupe
2026-09-17T01:26:04.949669+00:00,FRLDLE00000839,2026-09-17 00:41:28.110000+00:00,en_service,libre
2026-09-17T01:26:04.949767+00:00,FRLDLE00000840,2026-09-17 00:41:28.213000+00:00,en_service,occupe
2026-09-17T06:27:55.078186+00:00,FRLDLE00000840,2026-09-17 05:26:38.553000+00:00,en_service,libre
2026-09-17T11:59:11.517512+00:00,FRLDLE00000839,2026-09-17 11:25:55.937000+00:00,hors_service,inconnu
2026-09-17T11:59:11.517616+00:00,FRLDLE00000840,2026-09-17 11:26:01.110000+00:00,en_service,libre
2026-09-17T16:49:15.570929+00:00,FRLDLE00000839,2026-09-17 15:11:32.408000+00:00,en_service,libre
2026-09-17T16:49:15.571017+00:00,FRLDLE00000840,2026-09-17 15:05:52.899000+00:00,en_service,occupe
2026-09-17T19:59:34.778687+00:00,FRLDLE00000839,2026-09-17 17:23:05.971000+00:00,en_service,occupe
2026-09-18T01:01:18.455485+00:00,FRLDLE00000839,2026-09-18 00:41:10.463000+00:00,en_service,occupe
2026-09-18T01:01:18.455605+00:00,FRLDLE00000840,2026-09-18 00:41:10.607000+00:00,en_service,occupe
2026-09-18T05:54:58.170823+00:00,FRLDLE00000839,2026-09-18 04:08:48.722000+00:00,en_service,libre
2026-09-18T05:54:58.170954+00:00,FRLDLE00000840,2026-09-18 05:22:24.610000+00:00,en_service,libre
2026-09-18T10:34:44.153777+00:00,FRLDLE00000839,2026-09-18 10:32:50.559000+00:00,en_service,occupe
2026-09-18T10:34:44.153903+00:00,FRLDLE00000840,2026-09-18 10:32:50.548000+00:00,en_service,libre
